"Line Probe: Direction [1,0,0] (m)","Line Probe: Velocity: Magnitude (m/s)"
4.148,7.703286394443486E-5
4.1960000000000015,7.703286394443486E-5
4.244,8.129791496274278E-5
4.292,8.129791496274278E-5
4.34,8.551088982343821E-5
4.388,8.551088982343821E-5
4.436,8.966999742686873E-5
4.484,8.966999742686873E-5
4.532,9.377372837722321E-5
4.58,9.377372837722321E-5
4.628,9.782081790942456E-5
4.676,9.782081790942456E-5
4.724,1.0181026653877445E-4
4.772,1.0181026653877445E-4
4.82,1.0574125926957982E-4
4.868,1.0574125926957982E-4
4.916,1.096131868899342E-4
4.964,1.096131868899342E-4
5.0120000000000005,1.1342560934746443E-4
5.0600000000000005,1.1342560934746443E-4
5.1080000000000005,1.1717824821995296E-4
5.156000000000001,1.1717824821995296E-4
5.204000000000001,1.2087097908273404E-4
5.252000000000001,1.2087097908273404E-4
5.300000000000001,1.2087097908273404E-4
5.348000000000001,1.245037947492845E-4
5.396000000000001,1.245037947492845E-4
5.444000000000001,1.280768054275669E-4
5.492000000000001,1.280768054275669E-4
5.540000000000001,1.3159023863893707E-4
5.588000000000001,1.3159023863893707E-4
5.636000000000001,1.350443803221899E-4
5.684000000000001,1.350443803221899E-4
5.732000000000001,1.3843966251488577E-4
5.779999999999999,1.3843966251488577E-4
5.827999999999999,1.4177654724228093E-4
5.8759999999999994,1.4177654724228093E-4
5.9239999999999995,1.450555548756039E-4
5.9719999999999995,1.450555548756039E-4
6.02,1.4827729329066255E-4
6.068,1.4827729329066255E-4
6.116,1.5144239986588265E-4
6.164,1.5144239986588265E-4
6.212,1.5455158522372075E-4
6.26,1.5455158522372075E-4
6.308,1.5760557460490422E-4
6.356,1.5760557460490422E-4
6.404,1.6060512253493944E-4
6.452,1.6060512253493944E-4
6.5,1.6060512253493944E-4
6.548,1.6355102734858735E-4
6.596,1.6355102734858735E-4
6.644,1.6644410230550036E-4
6.692,1.6644410230550036E-4
6.74,1.6928518971447907E-4
6.788,1.6928518971447907E-4
6.836,1.7207513207698918E-4
6.884,1.7207513207698918E-4
6.932,1.7481481568680786E-4
6.98,1.7481481568680786E-4
7.0280000000000005,1.7750509786847252E-4
7.0760000000000005,1.7750509786847252E-4
7.1240000000000006,1.8014683600861537E-4
7.172000000000001,1.8014683600861537E-4
7.220000000000001,1.8274094583059294E-4
7.268000000000001,1.8274094583059294E-4
7.316000000000001,1.8528828490975747E-4
7.364000000000001,1.8528828490975747E-4
7.412000000000001,1.8778973999613314E-4
7.460000000000001,1.8778973999613314E-4
7.508000000000001,1.902462270689682E-4
7.556000000000001,1.902462270689682E-4
7.604000000000001,1.9265857474866282E-4
7.652000000000001,1.9265857474866282E-4
7.700000000000001,1.9265857474866282E-4
7.748000000000001,1.9502768454594913E-4
7.796000000000001,1.9502768454594913E-4
7.844000000000001,1.973544143374002E-4
7.892000000000001,1.973544143374002E-4
7.940000000000001,1.996396075257189E-4
7.988000000000001,1.996396075257189E-4
8.035999999999998,2.0188410762672588E-4
8.084,2.0188410762672588E-4
8.131999999999998,2.0408880163774485E-4
8.18,2.0408880163774485E-4
8.227999999999998,2.0625446040818703E-4
8.276,2.0625446040818703E-4
8.323999999999998,2.0838192750957768E-4
8.372,2.0838192750957768E-4
