"Time","Max_vitesse_au_point Monitor: Max_vitesse_au_point Monitor (m/s)"
100.0,0.001900569855934096
200.0,0.0018974292615894282
300.0,0.0018917412089649592
400.0,0.0018868311017286035
500.0,0.0018819077231455596
600.0,0.0018769306188914927
700.0,0.0018718627979978923
800.0,0.0018666752439457923
900.0,0.0018613364081829788
1000.0,0.0018558035371825105
1100.0,0.0018500159494578845
1200.0,0.0018438926781527705
1300.0,0.0018373320635873827
1400.0,0.0018302131211385133
1500.0,0.0018224038358312105
1600.0,0.0018137596198357644
1700.0,0.0018041267176158733
1800.0,0.001793360308511183
1900.0,0.001781330589437858
2000.0,0.0017679308075457814
2100.0,0.0017530859622638673
2200.0,0.0017367562686558813
2300.0,0.0017189570353366435
2400.0,0.0016996821213979274
2500.0,0.0016789951187092813
2600.0,0.001657034968957305
2700.0,0.0016338973364327103
2800.0,0.0016097104526124897
2900.0,0.0015846050519030548
3000.0,0.0015587296220473984
3100.0,0.0015322275285143436
3200.0,0.0015052112867124444
3300.0,0.0014777594187762662
3400.0,0.0014499307726509954
3500.0,0.0014217935968190523
3600.0,0.0013933962909504914
3700.0,0.0013647609739564457
3800.0,0.0013358897413127202
3900.0,0.001306769961956896
4000.0,0.0012773749476764414
4100.0,0.0012476687552407414
4200.0,0.00121760429465212
4300.0,0.0011871266760863368
4400.0,0.0011561819992493855
4500.0,0.0011247166548855674
4600.0,0.001092676626285564
4700.0,0.001060019421856893
4800.0,0.0010266883182340036
4900.0,9.926560887835402E-4
5000.0,9.578773897375785E-4
5100.0,9.223465458492505E-4
5200.0,8.859909430615568E-4
5300.0,8.488659659638393E-4
5400.0,8.108637412085436E-4
5500.0,7.718934066369568E-4
5600.0,7.323087775158882E-4
5700.0,6.921644380795047E-4
5800.0,6.511888495896497E-4
5900.0,6.095808639678033E-4
6000.0,5.673112609681722E-4
6100.0,5.239729580383647E-4
6200.0,4.8001702089460414E-4
6300.0,4.3557550089156835E-4
6400.0,3.906794445404519E-4
6500.0,3.4542306821659164E-4
6600.0,2.9983914283273234E-4
6700.0,2.539997367495248E-4
6800.0,2.0798530386775916E-4
6900.0,1.6187140864597156E-4
7000.0,1.1574084875383528E-4
7100.0,6.96806662461058E-5
7200.0,2.3765900594417608E-5
7300.0,2.1930461153973276E-5
7400.0,6.732799557571688E-5
7500.0,1.12361079122606E-4
7600.0,1.5696598893771152E-4
7700.0,2.0107475211366926E-4
7800.0,2.4462988221829896E-4
7900.0,2.8758425833089125E-4
8000.0,3.298803203506634E-4
8100.0,3.714747144840671E-4
8200.0,4.123305625398907E-4
8300.0,4.5241088810153707E-4
8400.0,4.916820980726377E-4
8500.0,5.30116580194066E-4
8600.0,5.677005538020721E-4
8700.0,6.04408007348197E-4
8800.0,6.402241851903969E-4
8900.0,6.751415785404071E-4
9000.0,7.091496518115993E-4
9100.0,7.42248070309973E-4
9200.0,7.744356553303506E-4
9300.0,8.057156810537078E-4
9400.0,8.360981300938879E-4
9500.0,8.655909914523639E-4
9600.0,8.9420820586395E-4
9700.0,9.219636413038637E-4
9800.0,9.48868837440847E-4
9900.0,9.749388409553526E-4
10000.0,0.001000185860904186
10100.0,0.0010246334422861945
10200.0,0.0010483105434127187
10300.0,0.001071229344236746
10400.0,0.0010934053570999117
10500.0,0.0011148534249559373
10600.0,0.0011355998867709461
10700.0,0.001155675039632783
10800.0,0.001175097364473604
10900.0,0.0011938943644133153
11000.0,0.0012120846950069515
11100.0,0.0012296873028484338
11200.0,0.001246726809778199
11300.0,0.0012632433790820258
11400.0,0.0012792370398639896
11500.0,0.0012947231880503006
11600.0,0.0013097175688131736
11700.0,0.0013242367422320646
11800.0,0.001338299916835431
11900.0,0.0013519252243091688
12000.0,0.001365122501748244
12100.0,0.0013779061555487216
12200.0,0.001390295947211601
12300.0,0.0014023098920077726
12400.0,0.0014139562263212793
12500.0,0.001425246533476905
12600.0,0.0014361968205813334
12700.0,0.001446823007429776
12800.0,0.0014571335050295251
12900.0,0.0014671382086827234
13000.0,0.0014768498367634122
13100.0,0.0014862805546727918
13200.0,0.001495439384598292
13300.0,0.001504336018115521
13400.0,0.0015129800303847164
13500.0,0.0015213801234511893
13600.0,0.0015295454941254326
13700.0,0.0015374846116220264
13800.0,0.0015452046645871367
13900.0,0.001552712725251445
14000.0,0.0015600166516493274
14100.0,0.0015671235160114288
14200.0,0.001574039342830574
14300.0,0.0015807703603265542
