"Time","Max_vitesse_au_point_x Monitor: Max_vitesse_au_point_x Monitor (m/s)"
100.0,0.0072445375844836235
150.0,0.007225595414638519
200.0,0.0072038439102470875
250.0,0.007177692372351885
300.0,0.007144964300096035
350.0,0.007103913929313421
400.0,0.007053254172205925
450.0,0.006993466056883335
500.0,0.00692632095888257
550.0,0.006854390259832144
600.0,0.006780561525374651
650.0,0.006707560736685991
700.0,0.006637850310653448
750.0,0.006573753897100687
800.0,0.006517400033771992
850.0,0.006470496766269207
900.0,0.006433919537812471
950.0,0.006407247856259346
1000.0,0.006388513371348381
1050.0,0.0063742902129888535
1100.0,0.006360166240483522
1150.0,0.006341584026813507
1200.0,0.006314679514616728
1250.0,0.00627684872597456
1350.0,0.006147335283458233
1450.0,0.005967352539300919
1550.0,0.00574689544737339
1650.0,0.005498331971466541
1750.0,0.005232173949480057
1850.0,0.004955262411385775
1950.0,0.004671198315918446
2050.0,0.00438128225505352
2150.0,0.004086155444383621
2250.0,0.003785879584029317
2350.0,0.003480529645457864
2450.0,0.0031701968982815742
2550.0,0.002855136524885893
2650.0,0.0025356863625347614
2750.0,0.002213330939412117
2850.0,0.001886035199277103
2950.0,0.0015536966966465116
3050.0,0.0012440531281754375
3150.0,9.12273651920259E-4
3250.0,5.829764413647354E-4
3350.0,2.5577188353054225E-4
3450.0,-6.555907020810992E-5
3550.0,-3.8340501487255096E-4
3650.0,-6.970082176849246E-4
3750.0,-0.0010061135981231928
3850.0,-0.0013105031102895737
3950.0,-0.0016102064400911331
4050.0,-0.001904853037558496
4150.0,-0.0021936555858701468
4250.0,-0.002475856803357601
4350.0,-0.0027508744969964027
4450.0,-0.00301872449927032
4550.0,-0.0032793597783893347
4650.0,-0.003532943781465292
4750.0,-0.003779485123232007
4850.0,-0.0040189484134316444
4950.0,-0.004251258447766304
5050.0,-0.0044762552715837955
5150.0,-0.004693999420851469
5250.0,-0.00490448996424675
5350.0,-0.0051077851094305515
5450.0,-0.005304008722305298
5550.0,-0.005493514705449343
5650.0,-0.005676959175616503
5750.0,-0.005854381714016199
5850.0,-0.006026015616953373
5950.0,-0.0061921123415231705
6050.0,-0.006352640222758055
6150.0,-0.006507682614028454
6250.0,-0.006657472811639309
6350.0,-0.006802296731621027
6450.0,-0.00694242725148797
6550.0,-0.007078221067786217
6650.0,-0.007210049778223038
6750.0,-0.007338209077715874
6850.0,-0.007463106419891119
6950.0,-0.0075849127024412155
7050.0,-0.007703675422817469
7150.0,-0.007819429971277714
7250.0,-0.007932075299322605
7350.0,-0.008041653782129288
7450.0,-0.008148244582116604
7550.0,-0.00825193990021944
7650.0,-0.008352924138307571
7750.0,-0.008451408706605434
7850.0,-0.008547657169401646
7950.0,-0.008641837164759636
8050.0,-0.008734122850000858
8150.0,-0.008824585936963558
8250.0,-0.00891319289803505
8350.0,-0.008999872952699661
8450.0,-0.009084515273571014
8550.0,-0.009167026728391647
8650.0,-0.00924733467400074
8750.0,-0.009325451217591763
8850.0,-0.009401463903486729
8950.0,-0.009475553408265114
9050.0,-0.0095480065792799
9150.0,-0.009619255550205708
9250.0,-0.009689771570265293
9350.0,-0.00976010411977768
9450.0,-0.009830757044255733
9550.0,-0.009902003221213818
9650.0,-0.009973883628845215
9750.0,-0.01004613284021616
9850.0,-0.010118153877556324
9950.0,-0.010189090855419636
10050.0,-0.010257936082780361
10150.0,-0.010323629714548588
10250.0,-0.010385127738118172
10350.0,-0.010440978221595287
10450.0,-0.010489610955119133
10550.0,-0.010529688559472561
10650.0,-0.010559683665633202
10750.0,-0.010578292421996593
10850.0,-0.010585388168692589
10950.0,-0.010579912923276424
11050.0,-0.010562261566519737
11150.0,-0.010553658939898014
11250.0,-0.010564039461314678
11350.0,-0.010606599971652031
