"Time","Max_vitesse_au_point_x Monitor: Max_vitesse_au_point_x Monitor (m/s)"
100.0,0.0018991606775671244
200.0,0.0018958726432174444
300.0,0.0018900468712672591
400.0,0.0018849950283765793
500.0,0.0018799250246956944
600.0,0.0018747956492006779
700.0,0.0018695686012506485
800.0,0.0018642136128619313
900.0,0.0018586966907605529
1000.0,0.001852971501648426
1100.0,0.0018469730857759714
1200.0,0.0018406143644824624
1300.0,0.0018337870715186
1400.0,0.0018263631500303745
1500.0,0.0018182032508775592
1600.0,0.0018091563833877444
1700.0,0.0017990643391385674
1800.0,0.0017877798527479172
1900.0,0.0017751733539626002
2000.0,0.0017611404182389379
2100.0,0.0017456111963838339
2200.0,0.0017285548383370042
2300.0,0.0017099983524531126
2400.0,0.0016899219481274486
2500.0,0.0016684363363310695
2600.0,0.0016456589801236987
2700.0,0.0016217094380408525
2800.0,0.0015967083163559437
2900.0,0.001570800319314003
3000.0,0.001544132479466498
3100.0,0.0015168488025665283
3200.0,0.0014890491729602218
3300.0,0.0014608243945986032
3400.0,0.0014322221977636218
3500.0,0.0014033053303137422
3600.0,0.0013741219881922007
3700.0,0.0013446868397295475
3800.0,0.0013149965088814497
3900.0,0.0012850337661802769
4000.0,0.0012547674123197794
4100.0,0.0012241582153365016
4200.0,0.001193155418150127
4300.0,0.0011616973206400871
4400.0,0.0011297320015728474
4500.0,0.0010972112650051713
4600.0,0.001064077951014042
4700.0,0.001030291197821498
4800.0,9.95788723230362E-4
4900.0,9.605480590835214E-4
5000.0,9.245369001291692E-4
5100.0,8.877605432644486E-4
5200.0,8.500972762703896E-4
5300.0,8.116626995615661E-4
5400.0,7.723119924776256E-4
5500.0,7.318268762901425E-4
5600.0,6.909423391334713E-4
5700.0,6.499870214611292E-4
5800.0,6.080742459744215E-4
5900.0,5.648158257827163E-4
6000.0,5.208482034504414E-4
6100.0,4.7626750892959535E-4
6200.0,4.311520606279373E-4
6300.0,3.856473776977509E-4
6400.0,3.3971641096286476E-4
6500.0,2.934440562967211E-4
6600.0,2.468990278430283E-4
6700.0,2.0016364578623325E-4
6800.0,1.533270115032792E-4
6900.0,1.0647168528521433E-4
7000.0,5.96790669078473E-5
7100.0,1.3046429558016825E-5
7200.0,-3.335268047521822E-5
7300.0,-7.945040852064267E-5
7400.0,-1.251678477274254E-4
7500.0,-1.704347087070346E-4
7600.0,-2.1518452558666468E-4
7700.0,-2.593518001958728E-4
7800.0,-3.0287972185760736E-4
7900.0,-3.4573004813864827E-4
8000.0,-3.8784396019764245E-4
8100.0,-4.29176987381652E-4
8200.0,-4.6969298273324966E-4
8300.0,-5.093668587505817E-4
8400.0,-5.481642438098788E-4
8500.0,-5.860619130544364E-4
8600.0,-6.230486906133592E-4
8700.0,-6.59103156067431E-4
8800.0,-6.942154723219573E-4
8900.0,-7.283773738890886E-4
9000.0,-7.61588045861572E-4
9100.0,-7.938533672131598E-4
9200.0,-8.251789258792996E-4
9300.0,-8.555725798942149E-4
9400.0,-8.850470767356455E-4
9500.0,-9.13614931050688E-4
9600.0,-9.412957006134093E-4
9700.0,-9.681066148914397E-4
9800.0,-9.940621675923467E-4
9900.0,-0.0010191778419539332
10000.0,-0.001043455908074975
10100.0,-0.0010669359471648932
10200.0,-0.0010896556777879596
10300.0,-0.0011116353562101722
10400.0,-0.001132891164161265
10500.0,-0.0011534139048308134
10600.0,-0.0011732314014807343
10700.0,-0.0011923869606107473
10800.0,-0.001210903748869896
10900.0,-0.0012288589496165514
11000.0,-0.0012462370796129107
11100.0,-0.001263047568500042
11200.0,-0.001279309275560081
11300.0,-0.0012950475793331861
11400.0,-0.0013102771481499076
11500.0,-0.001325017772614956
11600.0,-0.0013392810942605138
11700.0,-0.0013530805008485913
11800.0,-0.0013664400903508067
11900.0,-0.0013793795369565487
12000.0,-0.0013919089687988162
12100.0,-0.0014040418900549412
12200.0,-0.0014157976256683469
12300.0,-0.0014271941035985947
12400.0,-0.0014382415683940053
12500.0,-0.0014489508466795087
12600.0,-0.0014593360247090459
12700.0,-0.001469412469305098
12800.0,-0.001479189726524055
12900.0,-0.001488677691668272
13000.0,-0.0014978876570239663
13100.0,-0.0015068307984620333
13200.0,-0.0015155166620388627
13300.0,-0.0015239546773955226
13400.0,-0.001532154274173081
13500.0,-0.0015401227865368128
13600.0,-0.0015478691784664989
13700.0,-0.0015554018318653107
13800.0,-0.0015627272659912705
13900.0,-0.0015698522329330444
14000.0,-0.0015767839504405856
14100.0,-0.00158352917060256
14200.0,-0.0015900935977697372
14300.0,-0.0015964830527082086
14400.0,-0.0016027034725993872
14500.0,-0.0016087598633021116
14600.0,-0.0016146574635058641
14700.0,-0.001620401511900127
14800.0,-0.0016259965486824512
14900.0,-0.0016314468812197447
15000.0,-0.0016367571661248803
15100.0,-0.001641931594349444
15200.0,-0.0016469741240143776
15300.0,-0.001651888363994658
15400.0,-0.0016566779231652617
15500.0,-0.0016613464104011655
15600.0,-0.0016658970853313804
15700.0,-0.001670332858338952
15800.0,-0.001674656756222248
15900.0,-0.0016788719221949577
16000.0,-0.0016829811502248049
16100.0,-0.0016869872342795134
16200.0,-0.0016908927354961634
16300.0,-0.0016947000985965133
16400.0,-0.0016984115354716778
16500.0,-0.0017020294908434153
16600.0,-0.0017055562930181623
16700.0,-0.0017089941538870335
16800.0,-0.0017123448196798563
16900.0,-0.00171561015304178
17000.0,-0.0017187923658639193
17100.0,-0.0017218922730535269
17200.0,-0.0017249126685783267
17300.0,-0.0017278542509302497
17400.0,-0.0017307192320004106
17500.0,-0.001733508543111384
17600.0,-0.0017362239304929972
17700.0,-0.0017388662090525031
17800.0,-0.0017414368921890855
17900.0,-0.0017439371440559626
18000.0,-0.0017463682452216744
18100.0,-0.0017487317090854049
18200.0,-0.0017510285833850503
18300.0,-0.0017532601486891508
18400.0,-0.001755427336320281
18500.0,-0.001757530844770372
18600.0,-0.001759571605361998
18700.0,-0.0017615514807403088
18800.0,-0.0017634709365665913
18900.0,-0.0017653311369940639
19000.0,-0.0017671332461759448
19100.0,-0.001768878079019487
19200.0,-0.0017705656355246902
19300.0,-0.001772196963429451
19400.0,-0.0017737728776410222
19500.0,-0.001775294542312622
19600.0,-0.0017767627723515034
19700.0,-0.0017781784990802407
19800.0,-0.0017795421881601214
19900.0,-0.0017808545380830765
20000.0,-0.0017821148503571749
20100.0,-0.001783324289135635
20200.0,-0.0017844835529103875
20300.0,-0.0017855933401733637
20400.0,-0.0017866549314931035
20500.0,-0.0017876693746075034
20600.0,-0.001788636902347207
20700.0,-0.0017895572818815708
20800.0,-0.0017904305132105947
20900.0,-0.0017912575276568532
21000.0,-0.001792037975974381
21100.0,-0.0017927730223163962
21200.0,-0.0017934656934812665
21300.0,-0.0017941166879609227
21400.0,-0.0017947268206626177
21500.0,-0.0017952939961105585
21600.0,-0.0017958171665668488
21700.0,-0.0017962978454306722
21800.0,-0.0017967289313673973
21900.0,-0.0017971182242035866
22000.0,-0.0017974720103666186
22100.0,-0.0017977883107960224
22200.0,-0.0017980682896450162
22300.0,-0.001798307872377336
22400.0,-0.001798507058992982
22500.0,-0.0017986642196774483
22600.0,-0.0017987795872613788
22700.0,-0.00179885677061975
22800.0,-0.0017988943727687001
22900.0,-0.0017988948384299874
23000.0,-0.0017988564213737845
23100.0,-0.0017987836617976427
23200.0,-0.0017986770253628492
23300.0,-0.0017985450103878975
23400.0,-0.0017983814468607306
23500.0,-0.0017981798155233264
23600.0,-0.0017979416297748685
23700.0,-0.0017976675881072879
23800.0,-0.0017973590875044465
23900.0,-0.0017970212502405047
24000.0,-0.0017966546583920717
24100.0,-0.0017962637357413769
24200.0,-0.0017958438256755471
24300.0,-0.0017953943461179733
24400.0,-0.001794907497242093
24500.0,-0.0017943880520761013
24600.0,-0.0017938666278496385
24700.0,-0.0017933177296072245
24800.0,-0.0017927347216755152
24900.0,-0.0017921178368851542
25000.0,-0.0017914683558046818
25100.0,-0.0017907855799421668
25200.0,-0.0017900689272210002
25300.0,-0.00178931700065732
25400.0,-0.0017885289853438735
25500.0,-0.0017877150094136596
25600.0,-0.0017868722788989544
25700.0,-0.0017860017251223326
25800.0,-0.0017851023003458977
25900.0,-0.001784175750799477
26000.0,-0.0017832303419709206
26100.0,-0.0017822704976424575
26200.0,-0.0017812867881730199
26300.0,-0.001780282356776297
26400.0,-0.0017792569706216455
26500.0,-0.0017782105132937431
26600.0,-0.0017771432176232338
26700.0,-0.0017760548507794738
26800.0,-0.0017749462276697159
26900.0,-0.001773784519173205
27000.0,-0.0017725882353261113
27100.0,-0.0017713651759549975
27200.0,-0.0017701181350275874
27300.0,-0.0017688459483906627
27400.0,-0.0017675487324595451
27500.0,-0.0017662269528955221
27600.0,-0.001764881075359881
27700.0,-0.001763517502695322
