"Time","Max_vitesse_au_point_y Monitor: Max_vitesse_au_point_y Monitor (m/s)"
100.0,2.5798954084166326E-9
200.0,-1.8328591977478936E-9
300.0,-3.188461050740443E-9
400.0,-5.303490979713388E-9
500.0,-6.105437933001667E-9
600.0,-6.567915988853201E-9
700.0,-5.962192517472431E-9
800.0,-4.028606781503186E-9
900.0,-1.6880221664905548E-9
1000.0,1.711669028736651E-9
1100.0,4.666617314796895E-9
1200.0,7.955350156407803E-9
1300.0,1.0264557204209268E-8
1400.0,1.1043084668926895E-8
1500.0,1.033367880154401E-8
1600.0,7.989001460373402E-9
1700.0,4.66206984128803E-9
1800.0,2.482920535840094E-9
1900.0,2.6284396881237626E-10
2000.0,-9.158611646853387E-10
2100.0,-1.7662387108430266E-9
2200.0,-1.6370904631912708E-9
2300.0,-7.657945388928056E-10
2400.0,6.057234713807702E-10
2500.0,3.1104718800634146E-9
2600.0,6.430127541534603E-9
2700.0,1.0608346201479435E-8
2800.0,1.5401383279822767E-8
2900.0,2.024717105086893E-8
3000.0,2.4290784494951367E-8
3100.0,2.7408532332628965E-8
3200.0,2.9362126952037215E-8
3300.0,2.98969098366797E-8
3400.0,2.8865542844869196E-8
3500.0,2.720480551943183E-8
3600.0,2.4811015464365482E-8
3700.0,2.1687810658477247E-8
3800.0,1.8590071704238653E-8
3900.0,1.581247488502413E-8
4000.0,1.281841832678765E-8
4100.0,9.444192983210087E-9
4200.0,6.790287443436682E-9
4300.0,4.050889401696622E-9
4400.0,1.5133991837501526E-9
4500.0,-5.475158104673028E-10
4600.0,-1.9063008949160576E-9
4700.0,-3.1877789297141135E-9
4800.0,-3.949025995098054E-9
4900.0,-3.448803909122944E-9
5000.0,-2.1473169908858836E-9
5100.0,-7.494236342608929E-10
5200.0,1.4388206182047725E-9
5300.0,4.944922693539411E-9
5400.0,8.788447303231806E-9
5500.0,1.2938471627421677E-8
5600.0,1.8072569218929857E-8
5700.0,2.381057129241526E-8
5800.0,2.995420800289139E-8
5900.0,3.692730388138443E-8
6000.0,4.3996806198265404E-8
6100.0,5.2286850404925644E-8
6200.0,6.081063474994153E-8
6300.0,6.893242243677378E-8
6400.0,7.779271982144564E-8
6500.0,8.623419489595108E-8
6600.0,9.47834450926166E-8
6700.0,1.0326448318664916E-7
6800.0,1.1081965567427687E-7
6900.0,1.1859037840622477E-7
7000.0,1.2518376024672762E-7
7100.0,1.3087446859572083E-7
7200.0,1.3582211977336556E-7
7300.0,1.395628714817576E-7
7400.0,1.4130773706710897E-7
7500.0,1.4109809853835031E-7
7600.0,1.3942690202384256E-7
7700.0,1.3530143405660056E-7
7800.0,1.2913687896798365E-7
7900.0,1.2036002772219945E-7
8000.0,1.0896337698795833E-7
8100.0,9.460927685722709E-8
8200.0,7.761991582810879E-8
8300.0,5.786660040030256E-8
8400.0,3.514583113428671E-8
8500.0,1.0013309292844497E-8
8600.0,-1.852652076195227E-8
8700.0,-4.893036020803265E-8
8800.0,-8.243631555160391E-8
8900.0,-1.17105003027973E-7
9000.0,-1.54260362705827E-7
9100.0,-1.926817390085489E-7
9200.0,-2.3241056723577458E-7
9300.0,-2.722365408658334E-7
9400.0,-3.1217753360124334E-7
9500.0,-3.516882571830138E-7
9600.0,-3.8978288330326905E-7
9700.0,-4.262102777374821E-7
9800.0,-4.6049621005295194E-7
9900.0,-4.915614226774778E-7
10000.0,-5.194750656301039E-7
10100.0,-5.424336677606334E-7
10200.0,-5.60149828743306E-7
10300.0,-5.719467708331649E-7
10400.0,-5.760537078458583E-7
10500.0,-5.733355692427722E-7
10600.0,-5.624556251859758E-7
10700.0,-5.426437610367429E-7
10800.0,-5.141621386428596E-7
10900.0,-4.7632556743337773E-7
11000.0,-4.281057499611052E-7
11100.0,-3.6979804463044275E-7
11200.0,-3.0188539312803186E-7
11300.0,-2.237402441096492E-7
11400.0,-1.3589101399702486E-7
11500.0,-3.914033186447341E-8
11600.0,6.749860403942876E-8
11700.0,1.8209721019957215E-7
11800.0,3.0409637474804185E-7
11900.0,4.3327190724085085E-7
12000.0,5.665604021487525E-7
12100.0,7.042974630167009E-7
12200.0,8.461718152830144E-7
12300.0,9.883067377813859E-7
12400.0,1.1268134585407097E-6
12500.0,1.2620657798834145E-6
12600.0,1.3914650480728596E-6
12700.0,1.5125574464036617E-6
12800.0,1.6238413991231937E-6
12900.0,1.722062279441161E-6
13000.0,1.8068094504997134E-6
13100.0,1.8751170500763692E-6
13200.0,1.92505194718251E-6
13300.0,1.9513004190230276E-6
13400.0,1.9543385860743E-6
13500.0,1.9319800230732653E-6
13600.0,1.8797450138663407E-6
13700.0,1.797254299162887E-6
13800.0,1.683335085544968E-6
13900.0,1.5352361515397206E-6
14000.0,1.3532235243474133E-6
14100.0,1.1356964932929259E-6
14200.0,8.826386874716263E-7
14300.0,5.948440957581624E-7
14400.0,2.729643711063545E-7
14500.0,-8.273036655737087E-8
14600.0,-4.6935065256548114E-7
14700.0,-8.849965524859726E-7
14800.0,-1.327121935901232E-6
14900.0,-1.7904058040585369E-6
15000.0,-2.272324763907818E-6
15100.0,-2.768039848888293E-6
15200.0,-3.2707457648939453E-6
15300.0,-3.7753388824057765E-6
15400.0,-4.275741048331838E-6
15500.0,-4.762530352309113E-6
15600.0,-5.231526756688254E-6
15700.0,-5.671199687640183E-6
15800.0,-6.070625204301905E-6
15900.0,-6.4264113461831585E-6
16000.0,-6.731196663167793E-6
16100.0,-6.977131306484807E-6
16200.0,-7.151190857257461E-6
16300.0,-7.2445172918378375E-6
16400.0,-7.23791617929237E-6
16500.0,-7.129539426387055E-6
16600.0,-6.906647286086809E-6
16700.0,-6.560567271662876E-6
16800.0,-6.086671419325285E-6
16900.0,-5.481599600898335E-6
17000.0,-4.738474217447219E-6
17100.0,-3.849891982099507E-6
17200.0,-2.818666416715132E-6
17300.0,-1.6481540114909876E-6
17400.0,-3.3797459764173254E-7
17500.0,1.1069760148529895E-6
17600.0,2.6860170692089014E-6
17700.0,4.3921218093601055E-6
17800.0,6.215909252205165E-6
17900.0,8.147875632857904E-6
18000.0,1.0172152087761788E-5
18100.0,1.2274054824956693E-5
18200.0,1.443146948076901E-5
18300.0,1.662180170569627E-5
18400.0,1.8819684328263975E-5
18500.0,2.0996728608224657E-5
18600.0,2.3120729565562215E-5
18700.0,2.5157270670206344E-5
18800.0,2.7071336376138788E-5
18900.0,2.8830643145738577E-5
19000.0,3.039013117245304E-5
19100.0,3.1713059158278156E-5
19200.0,3.2757161944729773E-5
19300.0,3.347765742489628E-5
19400.0,3.3834319850711836E-5
19500.0,3.37928963460854E-5
19600.0,3.330643279353396E-5
19700.0,3.232936913377671E-5
19800.0,3.0825742015849755E-5
19900.0,2.8757314169070014E-5
20000.0,2.6087978767463937E-5
20100.0,2.2782763380746474E-5
20200.0,1.8832366777132847E-5
20300.0,1.4225920040189521E-5
20400.0,8.946136404119898E-6
20500.0,2.984026650665328E-6
20600.0,-3.635059329099022E-6
20700.0,-1.093967330234591E-5
20800.0,-1.8930573787656613E-5
20900.0,-2.7567098641156917E-5
21000.0,-3.68056731190336E-5
21100.0,-4.659752835323161E-5
21200.0,-5.6881189721025294E-5
21300.0,-6.759467487427173E-5
21400.0,-7.865902261983138E-5
21500.0,-8.997683926281752E-5
21600.0,-1.0143273721041624E-4
21700.0,-1.1289848589512985E-4
21800.0,-1.2423789121385198E-4
21900.0,-1.3530134128814097E-4
22000.0,-1.459305076423334E-4
22100.0,-1.5595385957567487E-4
22200.0,-1.6518722259206697E-4
22300.0,-1.7343802755931392E-4
22400.0,-1.8050182188744657E-4
22500.0,-1.861768432718236E-4
22600.0,-1.9024575885850936E-4
22700.0,-1.9248520038672723E-4
22800.0,-1.926800214278046E-4
22900.0,-1.906077959574759E-4
23000.0,-1.8604478464112617E-4
23100.0,-1.7869045768748038E-4
23200.0,-1.6835827409522608E-4
23300.0,-1.5488238386751618E-4
23400.0,-1.3819357081956696E-4
23500.0,-1.1813789205916692E-4
23600.0,-9.454271366848843E-5
23700.0,-6.712814183629234E-5
23800.0,-3.6036032440733834E-5
23900.0,-1.267463176191086E-6
24000.0,3.7062803755816276E-5
24100.0,7.89814466770622E-5
24200.0,1.2433512347342912E-4
24300.0,1.7317297169938684E-4
24400.0,2.2533837181981653E-4
24500.0,2.803102688631043E-4
24600.0,3.376706808921881E-4
24700.0,3.97334573790431E-4
24800.0,4.589522286551073E-4
24900.0,5.219809972913936E-4
25000.0,5.860923993168399E-4
25100.0,6.50782254524529E-4
25200.0,7.154726627049968E-4
25300.0,7.794946286594495E-4
25400.0,8.421673410339281E-4
25500.0,9.028565254993737E-4
25600.0,9.608238033251837E-4
25700.0,0.0010151893220609054
25800.0,0.0010649513569660485
25900.0,0.0011090216285083443
26000.0,0.001146219961810857
26100.0,0.00117524727829732
26200.0,0.0011944514117203653
26300.0,0.0012022446026094258
26400.0,0.0011969334445893764
26500.0,0.0011767404503189027
26600.0,0.0011395920591894537
26700.0,0.0010836409928742796
26800.0,0.0010075015597976744
26900.0,9.111231920542195E-4
27000.0,7.938072958495468E-4
27100.0,6.561233312822878E-4
27200.0,4.992274625692517E-4
27300.0,3.2468143763253465E-4
27400.0,1.3402731929090805E-4
27500.0,-7.11924881215964E-5
27600.0,-2.8977692272746935E-4
27700.0,-5.207688736845739E-4
27800.0,-7.633815112058073E-4
27900.0,-0.0010169304005103186
28000.0,-0.0012808402825612575
28100.0,-0.0015549365780316293
28200.0,-0.0018392254132777452
28300.0,-0.0021338032092899084
28400.0,-0.0024387018638662994
28500.0,-0.002753829932771623
28600.0,-0.0030789502197876573
28700.0,-0.0034138396731577814
28800.0,-0.0037586812395602465
28900.0,-0.00411475938744843
29000.0,-0.004485365469008684
