"Time","Max_vitesse_au_point_y Monitor: Max_vitesse_au_point_y Monitor (m/s)"
28200.0,7.435902953147888E-4
28300.0,-6.541814436786808E-4
28400.0,-0.0018122982000932097
28500.0,-0.0025813395623117685
28600.0,-0.0030003497377038
28700.0,-0.0032165389275178313
28800.0,-0.0033674464211799204
28900.0,-0.0034775411477312446
29000.0,-0.0034174835891462862
29100.0,-0.0030123182223178446
29200.0,-0.0021663251100108027
29300.0,-9.680416114861146E-4
29400.0,3.378966957825469E-4
29500.0,0.001467745576519519
29600.0,0.002256771025713533
29700.0,0.0027261009090580046
29800.0,0.003005743317771703
29900.0,0.0032217957195825875
30000.0,0.003393877297639847
30100.0,0.0033969664364121854
30200.0,0.003064176067709923
30300.0,0.0022955338354222476
30400.0,0.0011480521352495998
30500.0,-1.660079142311588E-4
30600.0,-0.0013644826540257782
30700.0,-0.0022389362566173077
30800.0,-0.0027648399118334055
30900.0,-0.003060688963159919
31000.0,-0.003273475740570575
31100.0,-0.003459960571490228
31200.0,-0.0035161436535418034
31300.0,-0.0032672968227416277
31400.0,-0.0025807911879383028
31500.0,-0.001480649458244443
31600.0,-1.5609368347213604E-4
31700.0,0.0011104784935014322
31800.0,0.0020808430563192815
31900.0,0.0026847237604670227
32000.0,0.003015053807757795
32100.0,0.0032227852498181164
32200.0,0.003400823101401329
32300.0,0.0034926418447867036
32400.0,0.0033307632547803223
32500.0,0.0027577269356697798
32600.0,0.001751460018567741
32700.0,4.680794809246436E-4
32800.0,-8.192044624593109E-4
32900.0,-0.0018521016754675657
33000.0,-0.002524802926927805
33100.0,-0.0029038129723630846
33200.0,-0.003133592661470175
33300.0,-0.003323561104480177
33400.0,-0.003452219592873007
33500.0,-0.003366228484082967
33600.0,-0.002898441452998668
33700.0,-0.0019886865629814565
33800.0,-7.538475038018078E-4
33900.0,5.515057491720654E-4
34000.0,0.0016529932618141174
34100.0,0.0024030737695284188
34200.0,0.0028354026144370437
34300.0,0.0030869124457240105
34400.0,0.0032841061474755406
