"Time","Max_vitesse_au_point_y Monitor: Max_vitesse_au_point_y Monitor (m/s)"
100.0,6.042455424903892E-10
200.0,4.064304448547773E-11
300.0,2.7853275241795927E-12
400.0,-2.7765167942561675E-10
500.0,-9.727614269650076E-10
600.0,-9.32629973249277E-10
700.0,-9.949303603207227E-10
800.0,-7.851213013054803E-10
900.0,-6.020286491548177E-10
1000.0,-3.5933567232859787E-10
1100.0,-1.7470824786869343E-10
1200.0,-5.2295945351943374E-11
1300.0,1.6086687537608668E-10
1400.0,2.0202151063131168E-10
1500.0,2.0025936464662664E-10
1600.0,1.0464873412274756E-10
1700.0,3.54702933691442E-11
1800.0,-6.355094228638336E-11
1900.0,-1.4779288903810084E-10
2000.0,-2.998490344907623E-10
2100.0,-3.9887027014628984E-10
2200.0,-3.743707566172816E-10
2300.0,-3.7329073165892623E-10
2400.0,-3.5868197301169857E-10
2500.0,-3.219611244276166E-10
2600.0,-2.6545876607997343E-10
2700.0,-2.0548895918182097E-10
2800.0,-1.5063505998114124E-10
2900.0,-1.07775122160092E-10
3000.0,-8.333245204994455E-11
3100.0,-6.264144758461043E-11
3200.0,-7.366907084360719E-11
3300.0,-8.844835974741727E-11
3400.0,-1.2676082405960187E-10
3500.0,-1.4586021279683337E-10
3600.0,-1.3926637620897964E-10
3700.0,-1.9178969523636624E-10
3800.0,-1.8803802959155291E-10
3900.0,-2.0486368157435209E-10
4000.0,-1.978150976356119E-10
4100.0,-1.9667822925839573E-10
4200.0,-1.8667378753889352E-10
4300.0,-1.90084392670542E-10
4400.0,-1.8144419300369918E-10
4500.0,-1.9053914002142847E-10
4600.0,-1.723492459859699E-10
4700.0,-1.7507773009128869E-10
4800.0,-1.766693458193913E-10
4900.0,-1.8667378753889352E-10
5000.0,-1.6757439880166203E-10
5100.0,-1.8894752429332584E-10
5200.0,-1.659827830735594E-10
5300.0,-1.8121681932825595E-10
5400.0,-1.6984813555609435E-10
5500.0,-1.5711520973127335E-10
5600.0,-1.5484147297684103E-10
5700.0,-1.4574652595911175E-10
5800.0,-1.0345502232667059E-10
5900.0,-9.731593308970332E-11
6000.0,-7.707967597525567E-11
6100.0,-5.0249582272954285E-11
6200.0,-3.8198777474462986E-11
6300.0,6.59383658785373E-12
6400.0,2.4101609596982598E-11
6500.0,6.843947630841285E-11
6600.0,9.57243173616007E-11
6700.0,1.1596057447604835E-10
6800.0,1.5302248357329518E-10
6900.0,1.823536877054721E-10
7000.0,2.2578205971512944E-10
7100.0,2.482920535840094E-10
7200.0,2.9604052542708814E-10
7300.0,3.446984919719398E-10
7400.0,3.9608494262211025E-10
7500.0,4.383764462545514E-10
7600.0,4.783942131325603E-10
7700.0,5.215952114667743E-10
7800.0,5.688889359589666E-10
7900.0,6.230038707144558E-10
8000.0,6.598384061362594E-10
8100.0,7.053131412249058E-10
8200.0,7.471498975064605E-10
8300.0,7.871676643844694E-10
8400.0,8.290044206660241E-10
8500.0,8.581082511227578E-10
8600.0,9.022187441587448E-10
8700.0,9.299583325628191E-10
8800.0,9.663381206337363E-10
8900.0,9.872564987745136E-10
9000.0,1.0206804290646687E-9
9100.0,1.0479652701178566E-9
9200.0,1.0791154636535794E-9
9300.0,1.1098109098384157E-9
9400.0,1.1232259566895664E-9
9500.0,1.1291376722510904E-9
9600.0,1.1500560503918678E-9
9700.0,1.1586962500587106E-9
9800.0,1.1827978596556932E-9
9900.0,1.1634710972430184E-9
10000.0,1.1682459444273263E-9
10100.0,1.171883923234418E-9
10200.0,1.1759766493923962E-9
10300.0,1.1691554391290992E-9
10400.0,1.1702923075063154E-9
10500.0,1.1693828128045425E-9
10600.0,1.1436895874794573E-9
10700.0,1.0986695997416973E-9
10800.0,1.1123120202682912E-9
10900.0,1.0868461686186492E-9
11000.0,1.0525127436267212E-9
11100.0,1.0381882020737976E-9
11200.0,9.999894245993346E-10
11300.0,9.642917575547472E-10
11400.0,9.363247954752296E-10
11500.0,9.081304597202688E-10
11600.0,8.65156835061498E-10
11700.0,8.230927051045001E-10
11800.0,7.930793799459934E-10
11900.0,7.594280759803951E-10
12000.0,7.235030352603644E-10
12100.0,6.828031473560259E-10
12200.0,6.345999281620607E-10
12300.0,5.975380190648139E-10
12400.0,5.488800525199622E-10
12500.0,5.168203642824665E-10
12600.0,4.677076503867283E-10
12700.0,4.1313796828035265E-10
12800.0,3.906279744114727E-10
12900.0,3.460627340245992E-10
13000.0,2.930846676463261E-10
13100.0,2.496562956366688E-10
13200.0,2.0577317627612501E-10
13300.0,1.560920281917788E-10
13400.0,1.1607426131376997E-10
13500.0,6.673417374258861E-11
13600.0,1.3415046851150692E-11
13700.0,-3.171862772433087E-11
13800.0,-8.344613888766617E-11
13900.0,-1.0277290130034089E-10
14000.0,-1.5847945178393275E-10
14100.0,-2.036131263594143E-10
14200.0,-2.4431301426375285E-10
14300.0,-2.722799763432704E-10
14400.0,-3.269633452873677E-10
14500.0,-3.6334313335828483E-10
14600.0,-4.000639819423668E-10
14700.0,-4.4371972762746736E-10
14800.0,-4.714593160315417E-10
14900.0,-5.165929906070232E-10
15000.0,-5.453557605505921E-10
15100.0,-5.966285243630409E-10
15200.0,-6.364189175656065E-10
15300.0,-6.631353244301863E-10
15400.0,-7.09405867382884E-10
15500.0,-7.294147508218884E-10
15600.0,-7.639755494892597E-10
15700.0,-7.796643330948427E-10
15800.0,-8.191136657842435E-10
15900.0,-8.570850695832632E-10
16000.0,-8.660663297632709E-10
16100.0,-9.096083886106499E-10
