"Time","Max_vitesse_au_point_y Monitor: Max_vitesse_au_point_y Monitor (m/s)"
200.0,5.675246939063072E-10
400.0,-2.1373125491663814E-10
600.0,-7.844391802791506E-11
800.0,1.0754774848464876E-10
1000.0,1.6143530956469476E-10
1200.0,1.4370016288012266E-10
1400.0,1.4210854715202004E-10
1600.0,7.185008144006133E-11
1800.0,-2.7284841053187847E-11
2000.0,-2.8194335754960775E-11
2200.0,-1.0277290130034089E-10
2400.0,-1.0550138540565968E-10
2600.0,-1.9736035028472543E-10
2800.0,-1.2096279533579946E-10
3000.0,-1.646185410209E-10
3200.0,-1.3642420526593924E-10
3400.0,-1.3460521586239338E-10
3600.0,-8.640199666842818E-11
3800.0,5.820766091346741E-11
4000.0,7.275957614183426E-11
4200.0,8.185452315956354E-11
4400.0,1.2369127944111824E-10
4600.0,2.0554580260068178E-10
4800.0,2.9467628337442875E-10
5000.0,4.774847184307873E-10
5200.0,5.748006515204906E-10
5400.0,5.338733899407089E-10
5600.0,6.075424607843161E-10
5800.0,6.484697223640978E-10
6000.0,7.503331289626658E-10
6200.0,8.62200977280736E-10
6400.0,9.040377335622907E-10
6600.0,9.986251825466752E-10
6800.0,7.494236342608929E-10
7000.0,6.316440703812987E-10
7200.0,3.319655661471188E-10
7400.0,5.184119800105691E-11
7600.0,-1.3233147910796106E-10
7800.0,-4.75210981676355E-10
8000.0,-8.863025868777186E-10
8200.0,-1.4042598195374012E-9
8400.0,-1.8444552551954985E-9
8600.0,-2.419255906715989E-9
8800.0,-2.936303644673899E-9
9000.0,-3.567492967704311E-9
9200.0,-4.145476850681007E-9
9400.0,-4.719822754850611E-9
9600.0,-5.585206963587552E-9
9800.0,-6.156369636300951E-9
10000.0,-6.746176950400695E-9
10200.0,-7.17705006536562E-9
10400.0,-7.720018402324058E-9
10600.0,-8.04379851615522E-9
10800.0,-8.51787262945436E-9
11000.0,-8.580627763876691E-9
11200.0,-8.556753527955152E-9
11400.0,-8.400775186601095E-9
11600.0,-8.330971468240023E-9
11800.0,-7.981043381732889E-9
12000.0,-7.528342393925413E-9
12200.0,-7.22138793207705E-9
12400.0,-6.471964297816157E-9
12600.0,-5.7862052926793694E-9
12800.0,-4.712660484074149E-9
13000.0,-3.759168976102956E-9
13200.0,-2.8759359338437207E-9
13400.0,-1.5506884665228426E-9
13600.0,-3.2719071896281093E-10
13800.0,8.380993676837534E-10
14000.0,2.2949961930862628E-9
14200.0,3.6563960748026147E-9
14400.0,5.092999799671816E-9
14600.0,6.4040932556963526E-9
14800.0,7.557503067801008E-9
15000.0,8.952895313996123E-9
15200.0,9.870547046375577E-9
15400.0,1.0849475984286983E-8
15600.0,1.157388851424912E-8
15800.0,1.2103029689569667E-8
16000.0,1.2348394862193857E-8
16200.0,1.249401293534902E-8
16400.0,1.2069451216234484E-8
16600.0,1.1482697459541669E-8
16800.0,1.0421629781376396E-8
17000.0,8.995897360364324E-9
17200.0,7.280249292307417E-9
17400.0,5.201172825763933E-9
17600.0,2.726324055402074E-9
17800.0,-1.2994405551580712E-10
18000.0,-3.3491573958599474E-9
18200.0,-6.828429377492284E-9
18400.0,-1.0378187198512023E-8
18600.0,-1.4441070561588276E-8
18800.0,-1.8485252439859323E-8
19000.0,-2.2776248442824E-8
19200.0,-2.7088390197604895E-8
19400.0,-3.1337549444288015E-8
19600.0,-3.5422090149950236E-8
19800.0,-3.921343250112841E-8
20000.0,-4.306946266297018E-8
20200.0,-4.600804004439851E-8
20400.0,-4.8829974730324466E-8
20600.0,-5.0848939281422645E-8
20800.0,-5.220977072895039E-8
21000.0,-5.287608928483678E-8
21200.0,-5.2600739763875026E-8
21400.0,-5.1752181207120884E-8
21600.0,-4.945309228787664E-8
21800.0,-4.631897354556713E-8
22000.0,-4.234948391967919E-8
22200.0,-3.6709366213472094E-8
22400.0,-3.025581918336684E-8
22600.0,-2.2478388927993365E-8
22800.0,-1.3588078218162991E-8
23000.0,-3.863533493131399E-9
23200.0,6.903974281158298E-9
23400.0,1.868124854809139E-8
23600.0,3.1205217965180054E-8
23800.0,4.418643584358506E-8
24000.0,5.7564420785638504E-8
24200.0,7.135031410143711E-8
24400.0,8.507367965648882E-8
24600.0,9.850782589637674E-8
24800.0,1.1149109013786074E-7
25000.0,1.2354894352029078E-7
25200.0,1.347661964246072E-7
25400.0,1.4462716535490472E-7
25600.0,1.525645529909525E-7
25800.0,1.5838281797186937E-7
26000.0,1.621565388632007E-7
26200.0,1.6309968486893922E-7
26400.0,1.6129752111737616E-7
26600.0,1.5619161786162294E-7
26800.0,1.4788747648708522E-7
27000.0,1.3581825442088302E-7
27200.0,1.1987344805675093E-7
27400.0,9.925838639901485E-8
27600.0,7.531025403295644E-8
27800.0,4.639036887965631E-8
28000.0,1.4485522115137428E-8
28200.0,-2.1449068299261853E-8
28400.0,-6.15993940300541E-8
28600.0,-1.0405437933513895E-7
28800.0,-1.4986881069489755E-7
29000.0,-1.9828030417556874E-7
29200.0,-2.4815130927891005E-7
29400.0,-2.993101588799618E-7
29600.0,-3.5083371585642453E-7
29800.0,-4.0192867345467675E-7
30000.0,-4.5183492147771176E-7
30200.0,-4.991416062694043E-7
30400.0,-5.434019385575084E-7
30600.0,-5.827650966239162E-7
30800.0,-6.162765657791169E-7
31000.0,-6.426616891985759E-7
31200.0,-6.607924660784192E-7
31400.0,-6.693446721328655E-7
31600.0,-6.671630217169877E-7
31800.0,-6.524965101561975E-7
32000.0,-6.242610197659815E-7
32200.0,-5.818949375679949E-7
32400.0,-5.244971816864563E-7
32600.0,-4.5071942622598726E-7
32800.0,-3.5912944440497085E-7
33000.0,-2.503688847355079E-7
33200.0,-1.247008185600862E-7
33400.0,1.8788568922900595E-8
33600.0,1.7987531464314088E-7
33800.0,3.578779796953313E-7
34000.0,5.521546881936956E-7
34200.0,7.603105132147903E-7
34400.0,9.812579264689703E-7
34600.0,1.2134221378801158E-6
34800.0,1.4547372302331496E-6
35000.0,1.7027387002599426E-6
35200.0,1.954288791239378E-6
35400.0,2.2056060515751597E-6
35600.0,2.4528239919163752E-6
35800.0,2.6916600290860515E-6
36000.0,2.918095105997054E-6
36200.0,3.1266085898096208E-6
36400.0,3.3122212244052207E-6
36600.0,3.4692329791141674E-6
36800.0,3.5924513213103637E-6
37000.0,3.6756453027919633E-6
