"Time","Max_vitesse_au_point_y Monitor: Max_vitesse_au_point_y Monitor (m/s)"
100.0,5.750280251959339E-10
200.0,-1.4293277672550175E-10
300.0,4.305888978706207E-11
400.0,3.12070369545836E-11
500.0,1.6711965145077556E-11
600.0,-2.3135271476348862E-11
700.0,-4.2518877307884395E-11
800.0,6.536993168992922E-12
900.0,-3.0183855415089056E-11
1000.0,-4.547473508864641E-11
1100.0,-4.757794158649631E-11
1200.0,-4.382627594168298E-11
1300.0,-2.5636381906224415E-11
1400.0,-2.1827872842550278E-11
1500.0,-3.751665644813329E-11
1600.0,1.9326762412674725E-11
1700.0,4.5361048250924796E-11
1800.0,4.058620106661692E-11
1900.0,4.581579560181126E-11
2000.0,1.9326762412674725E-11
2100.0,-1.3528733688872308E-11
2200.0,9.322320693172514E-12
2300.0,2.0463630789890885E-12
2400.0,-7.503331289626658E-12
2500.0,3.228706191293895E-11
2600.0,-1.2505552149377763E-11
2700.0,-3.865352482534945E-12
2800.0,-2.4556356947869062E-11
2900.0,-4.388311936054379E-11
3000.0,-1.1095835361629725E-10
3100.0,-9.549694368615746E-11
3200.0,-1.405169314239174E-10
3300.0,-1.4779288903810084E-10
3400.0,-1.5688783605583012E-10
3500.0,-1.6052581486292183E-10
3600.0,-1.9963408703915775E-10
3700.0,-1.6416379367001355E-10
3800.0,-1.446096575818956E-10
3900.0,-1.418811734765768E-10
4000.0,-1.2596501619555056E-10
4100.0,-8.549250196665525E-11
4200.0,-4.18367562815547E-11
4300.0,3.5925040720030665E-11
4400.0,6.184563972055912E-11
4500.0,1.2641976354643703E-10
4600.0,2.382876118645072E-10
4700.0,3.0104274628683925E-10
4800.0,3.6970959627069533E-10
4900.0,5.165929906070232E-10
5000.0,5.766196409240365E-10
5100.0,6.857590051367879E-10
5200.0,8.085407898761332E-10
5300.0,9.194991434924304E-10
5400.0,1.0468284017406404E-9
5500.0,1.1623342288658023E-9
5600.0,1.2360032997094095E-9
5700.0,1.3542376109398901E-9
5800.0,1.4988472685217857E-9
5900.0,1.610715116839856E-9
6000.0,1.6907506505958736E-9
6100.0,1.7917045624926686E-9
6200.0,1.8717400962486863E-9
6300.0,1.91630533663556E-9
6400.0,1.939952198881656E-9
6500.0,1.974512997549027E-9
6600.0,1.950866135302931E-9
6700.0,1.939952198881656E-9
6800.0,1.8580976757220924E-9
6900.0,1.7771526472643018E-9
7000.0,1.686203177087009E-9
7100.0,1.5425030142068863E-9
7200.0,1.4424585970118642E-9
7300.0,1.2832970242016017E-9
7400.0,1.1259544407948852E-9
7500.0,9.868017514236271E-10
7600.0,8.230927051045001E-10
7700.0,6.502887117676437E-10
7800.0,4.68389771413058E-10
7900.0,2.8194335754960775E-10
8000.0,1.255102688446641E-10
8100.0,-3.183231456205249E-11
8200.0,-1.4733814168721437E-10
8300.0,-2.964952727779746E-10
8400.0,-3.838067641481757E-10
8500.0,-4.6475179260596633E-10
8600.0,-5.111360223963857E-10
8700.0,-5.393303581513464E-10
8800.0,-5.466063157655299E-10
8900.0,-5.211404641158879E-10
9000.0,-4.474713932722807E-10
9100.0,-3.9108272176235914E-10
9200.0,-2.573870006017387E-10
9300.0,-1.255102688446641E-10
