"Time","Max_vitesse_au_point Monitor: Max_vitesse_au_point Monitor (m/s)"
100.0,0.0029066734132356946
200.0,0.0029019321082159916
300.0,0.002896539343055338
400.0,0.0028913366841152315
500.0,0.00288588396506384
600.0,0.0028798556886613373
700.0,0.002872833341825754
800.0,0.002864356269128623
900.0,0.0028539097984321415
1000.0,0.002840960223693401
1100.0,0.002825025352649392
1200.0,0.0028058486059308087
1300.0,0.0027832696796394937
1400.0,0.0027572525432333407
1500.0,0.0027282033115625525
1600.0,0.002696599462069581
1700.0,0.0026630419306457116
1800.0,0.0026281563332304445
1900.0,0.0025924837100319625
2000.0,0.002556597813963897
2100.0,0.002520935842767359
2200.0,0.002485763572622091
2300.0,0.0024511957890354145
2400.0,0.002417220501229168
2500.0,0.002383718150667846
2600.0,0.002350482332985848
2700.0,0.0023172441287897527
2800.0,0.002283691894263029
2900.0,0.0022494964068755547
3000.0,0.0022143335081636936
3100.0,0.0021778973750770122
3200.0,0.0021399203687906335
3300.0,0.002100183046422917
3400.0,0.002058518235571709
3500.0,0.0020148284384049796
3600.0,0.0019690685148817102
3700.0,0.001921253511682231
3800.0,0.0018714318284765567
3900.0,0.001819691096898245
4000.0,0.0017661243909970592
4100.0,0.0017108524043579199
4200.0,0.0016540003707632787
4300.0,0.001595700538018748
4400.0,0.0015360776451416407
4500.0,0.0014752426068298527
4600.0,0.001413322635926307
4700.0,0.0013503780646715402
4800.0,0.0012865340395365396
4900.0,0.0012217980984134136
5000.0,0.0011564258311412253
5100.0,0.0010900673223664644
5200.0,0.0010227539314663445
5300.0,9.558676683820768E-4
5400.0,8.884138369482092E-4
5500.0,8.2065700553538E-4
5600.0,7.529423892284683E-4
5700.0,6.840295536697026E-4
5800.0,6.148475949904856E-4
5900.0,5.456752551269953E-4
6000.0,4.764233744948316E-4
6100.0,4.071624207433101E-4
6200.0,3.3788444125105435E-4
6300.0,2.6860120124201186E-4
6400.0,1.9939166486642018E-4
6500.0,1.3030090759418334E-4
6600.0,6.140136933140571E-5
6700.0,7.236713432853081E-6
6800.0,7.556166435943349E-5
6900.0,1.4351060422545563E-4
7000.0,2.110162422883876E-4
7100.0,2.7803379638514626E-4
7200.0,3.444922258810816E-4
7300.0,4.1033561867918217E-4
7400.0,4.754992042046214E-4
7500.0,5.3993915209002E-4
7600.0,6.035793194389177E-4
7700.0,6.663578096808734E-4
7800.0,7.282317383219638E-4
7900.0,7.891284767540096E-4
8000.0,8.48990937813745E-4
8100.0,9.077774157121015E-4
8200.0,9.654470341189501E-4
8300.0,0.0010219483665653917
8400.0,0.0010772366368063664
8500.0,0.0011313013383593183
8600.0,0.0011841113155721661
8700.0,0.001235654432147117
8800.0,0.001285917591358782
8900.0,0.0013348795183074527
9000.0,0.0013825719652712756
9100.0,0.0014289607352504854
9200.0,0.0014740407641800817
9300.0,0.0015178104804541971
9400.0,0.001560265460292704
9500.0,0.0016014105640369937
9600.0,0.0016412572003901733
9700.0,0.0016798294091170812
9800.0,0.001717142964494189
9900.0,0.0017532164638685544
10000.0,0.0017880793312116876
10100.0,0.0018217687030086002
10200.0,0.0018543010520258227
10300.0,0.0018856994867002372
10400.0,0.0019159959921398022
10500.0,0.0019452178095271124
10600.0,0.0019733903174029006
10700.0,0.002000546548613242
10800.0,0.002026717469636011
10900.0,0.002051932388033552
11000.0,0.0020762239583069194
11100.0,0.002099625824490323
11200.0,0.0021221675560812413
11300.0,0.0021438826806974647
11400.0,0.0021648018737800406
11500.0,0.002184955286897697
11600.0,0.0022043764476622377
11700.0,0.0022230935285756414
11800.0,0.002241133829023151
11900.0,0.0022585248812189377
12000.0,0.0022752918890679695
12100.0,0.0022914598236450268
12200.0,0.002307053597819341
12300.0,0.0023220945155903944
12400.0,0.0023366037645450627
12500.0,0.002350602532275177
12600.0,0.0023641115407206682
12700.0,0.0023771497073875616
12800.0,0.0023897353677131434
12900.0,0.0024018853437346634
13000.0,0.0024136171559837587
13100.0,0.0024249465205516355
13200.0,0.0024358879311605695
13300.0,0.002446455881525061
13400.0,0.00245666533100791
13500.0,0.002466527804705202
13600.0,0.002476056108271498
13700.0,0.0024852620578181424
13800.0,0.002494156363496849
13900.0,0.0025027497354685436
14000.0,0.002511051894358813
14100.0,0.0025190720369392353
14200.0,0.0025268187779222554
14300.0,0.002534300906672195
14400.0,0.0025415259902182488
14500.0,0.002548501362794522
14600.0,0.0025552329616766135
14700.0,0.002561727597281096
14800.0,0.002567995281458895
14900.0,0.0025740243728129227
15000.0,0.0025798312278120686
15100.0,0.0025854266149547807
15200.0,0.0025908161804201464
15300.0,0.0025960052792858824
15400.0,0.0026009978113478026
15500.0,0.0026057968614690975
15600.0,0.0026104040592192287
15700.0,0.00261482231468985
15800.0,0.0026190530827803725
15900.0,0.002623099681019648
16000.0,0.0026269659508797614
16100.0,0.0026306549772037173
16200.0,0.002634170601650644
16300.0,0.0026375156182950658
16400.0,0.00264069311244865
16500.0,0.0026437055874778802
16600.0,0.0026465565364198074
16700.0,0.0026492479390354978
16800.0,0.0026517808437991975
16900.0,0.0026541567648145246
17000.0,0.0026563770996529575
17100.0,0.0026584441769748855
17200.0,0.0026603609654688404
17300.0,0.002662129967804402
17400.0,0.002663750834070987
17500.0,0.0026652247855218263
17600.0,0.002666553276115566
